CoC Number,CoC Name,Count Types,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered SH Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Overall Homeless Individuals - Under 18,Sheltered ES Homeless Individuals,Sheltered ES Homeless Individuals - Under 18,Sheltered TH Homeless Individuals,Sheltered TH Homeless Individuals - Under 18,Sheltered SH Homeless Individuals,Sheltered Total Homeless Individuals,Sheltered Total Homeless Individuals - Under 18,Unsheltered Homeless Individuals,Unsheltered Homeless Individuals - Under 18,Overall Homeless People in Families,Sheltered ES Homeless People in Families,Sheltered TH Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered ES Homeless Family Households,Sheltered TH Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Overall Chronically Homeless,Sheltered ES Chronically Homeless,Sheltered SH Chronically Homeless,Sheltered Total Chronically Homeless,Unsheltered Chronically Homeless,Overall Chronically Homeless Individuals,Sheltered ES Chronically Homeless Individuals,Sheltered SH Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Overall Chronically Homeless People in Families,Sheltered ES Chronically Homeless People in Families,Sheltered Total Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Overall Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans,Year
IL-513,Springfield/Sangamon County CoC,Sheltered and Unsheltered Count,251.0,114.0,128.0,0.0,242.0,9.0,160.0,0.0,114.0,0.0,37.0,0.0,0.0,151.0,0.0,9.0,0.0,91.0,0.0,91.0,91.0,0.0,27.0,0.0,27.0,27.0,0.0,97.0,92.0,0.0,92.0,5.0,96.0,91.0,0.0,91.0,5.0,1.0,1.0,1.0,0.0,18.0,17.0,1.0,2012
IL-514,DuPage County CoC,Sheltered-Only Count,641.0,168.0,440.0,0.0,608.0,33.0,286.0,4.0,130.0,4.0,126.0,0.0,0.0,256.0,4.0,30.0,0.0,355.0,38.0,314.0,352.0,3.0,115.0,13.0,101.0,114.0,1.0,113.0,98.0,0.0,98.0,15.0,93.0,81.0,0.0,81.0,12.0,20.0,17.0,17.0,3.0,31.0,30.0,1.0,2012
IL-515,South Central Illinois CoC,Sheltered and Unsheltered Count,124.0,74.0,50.0,0.0,124.0,0.0,33.0,1.0,32.0,1.0,1.0,0.0,0.0,33.0,1.0,0.0,0.0,91.0,42.0,49.0,91.0,0.0,29.0,14.0,15.0,29.0,0.0,12.0,12.0,0.0,12.0,0.0,6.0,6.0,0.0,6.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,2012
IL-516,Decatur/Macon County CoC,Sheltered and Unsheltered Count,210.0,94.0,61.0,3.0,158.0,52.0,122.0,0.0,62.0,0.0,11.0,0.0,3.0,76.0,0.0,46.0,0.0,88.0,32.0,50.0,82.0,6.0,31.0,12.0,17.0,29.0,2.0,49.0,26.0,3.0,29.0,20.0,41.0,26.0,3.0,29.0,12.0,8.0,0.0,0.0,8.0,9.0,6.0,3.0,2012
IL-517,"Aurora, Elgin/Kane County CoC",Sheltered-Only Count,431.0,258.0,130.0,0.0,388.0,43.0,313.0,0.0,221.0,0.0,56.0,0.0,0.0,277.0,0.0,36.0,0.0,118.0,37.0,74.0,111.0,7.0,40.0,12.0,25.0,37.0,3.0,74.0,65.0,0.0,65.0,9.0,71.0,62.0,0.0,62.0,9.0,3.0,3.0,3.0,0.0,34.0,30.0,4.0,2012
IL-518,"Rock Island, Moline/Northwestern Illinois CoC",Sheltered and Unsheltered Count,263.0,94.0,141.0,0.0,235.0,28.0,129.0,2.0,75.0,1.0,40.0,1.0,0.0,115.0,2.0,14.0,0.0,134.0,19.0,101.0,120.0,14.0,43.0,6.0,33.0,39.0,4.0,12.0,12.0,0.0,12.0,0.0,12.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,2012
IL-519,West Central Illinois CoC,Sheltered-Only Count,172.0,59.0,90.0,0.0,149.0,23.0,69.0,1.0,41.0,0.0,22.0,1.0,0.0,63.0,1.0,6.0,0.0,103.0,18.0,68.0,86.0,17.0,35.0,6.0,24.0,30.0,5.0,17.0,11.0,0.0,11.0,6.0,15.0,9.0,0.0,9.0,6.0,2.0,2.0,2.0,0.0,3.0,1.0,2.0,2012
IL-520,Southern Illinois CoC,Sheltered and Unsheltered Count,411.0,241.0,100.0,0.0,341.0,70.0,158.0,0.0,101.0,0.0,26.0,0.0,0.0,127.0,0.0,31.0,0.0,253.0,140.0,74.0,214.0,39.0,93.0,47.0,35.0,82.0,11.0,30.0,9.0,0.0,9.0,21.0,16.0,4.0,0.0,4.0,12.0,14.0,5.0,5.0,9.0,31.0,26.0,5.0,2012
IN-502,Indiana Balance of State CoC,Sheltered and Unsheltered Count,4612.0,2089.0,1807.0,0.0,3896.0,716.0,2177.0,67.0,1051.0,27.0,639.0,24.0,0.0,1690.0,51.0,487.0,16.0,2435.0,1038.0,1168.0,2206.0,229.0,801.0,319.0,392.0,711.0,90.0,251.0,124.0,0.0,124.0,127.0,246.0,119.0,0.0,119.0,127.0,5.0,5.0,5.0,0.0,342.0,223.0,119.0,2012
IN-503,Indianapolis CoC,Sheltered and Unsheltered Count,1647.0,845.0,604.0,25.0,1474.0,173.0,1139.0,0.0,504.0,0.0,442.0,0.0,25.0,971.0,0.0,168.0,0.0,508.0,341.0,162.0,503.0,5.0,154.0,102.0,51.0,153.0,1.0,294.0,220.0,25.0,245.0,49.0,215.0,141.0,25.0,166.0,49.0,79.0,79.0,79.0,0.0,345.0,324.0,21.0,2012
KS-502,Wichita/Sedgwick County CoC,Sheltered and Unsheltered Count,550.0,339.0,119.0,17.0,475.0,75.0,368.0,2.0,234.0,2.0,45.0,0.0,17.0,296.0,2.0,72.0,0.0,182.0,105.0,74.0,179.0,3.0,55.0,30.0,24.0,54.0,1.0,138.0,93.0,13.0,106.0,32.0,127.0,84.0,13.0,97.0,30.0,11.0,9.0,9.0,2.0,53.0,41.0,12.0,2012
KS-503,Topeka/Shawnee County CoC,Sheltered and Unsheltered Count,577.0,447.0,80.0,0.0,527.0,50.0,405.0,0.0,338.0,0.0,22.0,0.0,0.0,360.0,0.0,45.0,0.0,172.0,109.0,58.0,167.0,5.0,43.0,29.0,12.0,41.0,2.0,56.0,44.0,0.0,44.0,12.0,46.0,35.0,0.0,35.0,11.0,10.0,9.0,9.0,1.0,93.0,82.0,11.0,2012
KS-505,"Overland Park, Shawnee/Johnson County CoC",Sheltered-Only Count,288.0,97.0,123.0,0.0,220.0,68.0,48.0,1.0,21.0,0.0,4.0,0.0,0.0,25.0,0.0,23.0,1.0,240.0,76.0,119.0,195.0,45.0,61.0,21.0,29.0,50.0,11.0,13.0,12.0,0.0,12.0,1.0,4.0,3.0,0.0,3.0,1.0,9.0,9.0,9.0,0.0,3.0,1.0,2.0,2012
KS-507,Kansas Balance of State CoC,Sheltered-Only Count,1043.0,414.0,568.0,0.0,982.0,61.0,561.0,0.0,262.0,0.0,248.0,0.0,0.0,510.0,0.0,51.0,0.0,482.0,152.0,320.0,472.0,10.0,164.0,57.0,103.0,160.0,4.0,115.0,100.0,0.0,100.0,15.0,83.0,70.0,0.0,70.0,13.0,32.0,30.0,30.0,2.0,184.0,172.0,12.0,2012
KY-500,Kentucky Balance of State CoC,Sheltered-Only Count,2328.0,1055.0,572.0,0.0,1627.0,701.0,1340.0,36.0,677.0,36.0,135.0,0.0,0.0,812.0,36.0,528.0,0.0,988.0,378.0,437.0,815.0,173.0,320.0,134.0,135.0,269.0,51.0,233.0,105.0,0.0,105.0,128.0,148.0,76.0,0.0,76.0,72.0,85.0,29.0,29.0,56.0,170.0,127.0,43.0,2012
KY-501,Louisville-Jefferson County CoC,Sheltered and Unsheltered Count,1532.0,676.0,694.0,10.0,1380.0,152.0,1034.0,20.0,507.0,18.0,374.0,0.0,10.0,891.0,18.0,143.0,2.0,498.0,169.0,320.0,489.0,9.0,163.0,54.0,107.0,161.0,2.0,187.0,127.0,1.0,128.0,59.0,166.0,106.0,1.0,107.0,59.0,21.0,21.0,21.0,0.0,223.0,198.0,25.0,2012
KY-502,Lexington-Fayette County CoC,Sheltered-Only Count,1370.0,401.0,911.0,0.0,1312.0,58.0,908.0,9.0,371.0,9.0,481.0,0.0,0.0,852.0,9.0,56.0,0.0,462.0,30.0,430.0,460.0,2.0,184.0,15.0,168.0,183.0,1.0,209.0,190.0,0.0,190.0,19.0,183.0,164.0,0.0,164.0,19.0,26.0,26.0,26.0,0.0,47.0,44.0,3.0,2012
LA-500,Lafayette/Acadiana CoC,Sheltered and Unsheltered Count,518.0,194.0,245.0,0.0,439.0,79.0,325.0,0.0,120.0,0.0,126.0,0.0,0.0,246.0,0.0,79.0,0.0,193.0,74.0,119.0,193.0,0.0,63.0,26.0,37.0,63.0,0.0,76.0,39.0,0.0,39.0,37.0,64.0,29.0,0.0,29.0,35.0,12.0,10.0,10.0,2.0,61.0,49.0,12.0,2012
LA-502,"Shreveport, Bossier/Northwest Louisiana CoC",Sheltered and Unsheltered Count,804.0,169.0,448.0,9.0,626.0,178.0,477.0,4.0,131.0,0.0,159.0,4.0,9.0,299.0,4.0,178.0,0.0,327.0,38.0,289.0,327.0,0.0,102.0,12.0,90.0,102.0,0.0,123.0,37.0,0.0,37.0,86.0,122.0,36.0,0.0,36.0,86.0,1.0,1.0,1.0,0.0,129.0,92.0,37.0,2012
LA-503,New Orleans/Jefferson Parish CoC,Sheltered and Unsheltered Count,4903.0,601.0,848.0,15.0,1464.0,3439.0,4325.0,30.0,532.0,8.0,384.0,13.0,15.0,931.0,21.0,3394.0,9.0,578.0,69.0,464.0,533.0,45.0,191.0,23.0,150.0,173.0,18.0,2422.0,137.0,10.0,147.0,2275.0,2368.0,106.0,10.0,116.0,2252.0,54.0,31.0,31.0,23.0,570.0,188.0,382.0,2012
LA-505,Monroe/Northeast Louisiana CoC,Sheltered and Unsheltered Count,257.0,73.0,117.0,8.0,198.0,59.0,119.0,2.0,44.0,2.0,14.0,0.0,8.0,66.0,2.0,53.0,0.0,138.0,29.0,103.0,132.0,6.0,48.0,11.0,35.0,46.0,2.0,64.0,29.0,6.0,35.0,29.0,58.0,25.0,6.0,31.0,27.0,6.0,4.0,4.0,2.0,16.0,7.0,9.0,2012
LA-506,Slidell/Southeast Louisiana CoC,Sheltered and Unsheltered Count,276.0,85.0,152.0,0.0,237.0,39.0,153.0,0.0,61.0,0.0,63.0,0.0,0.0,124.0,0.0,29.0,0.0,123.0,24.0,89.0,113.0,10.0,35.0,8.0,25.0,33.0,2.0,22.0,19.0,0.0,19.0,3.0,22.0,19.0,0.0,19.0,3.0,0.0,0.0,0.0,0.0,46.0,43.0,3.0,2012
LA-507,Alexandria/Central Louisiana CoC,Sheltered and Unsheltered Count,188.0,52.0,121.0,0.0,173.0,15.0,156.0,0.0,46.0,0.0,95.0,0.0,0.0,141.0,0.0,15.0,0.0,32.0,6.0,26.0,32.0,0.0,9.0,2.0,7.0,9.0,0.0,12.0,4.0,0.0,4.0,8.0,12.0,4.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,33.0,31.0,2.0,2012
LA-509,Louisiana Balance of State CoC,Sheltered-Only Count,826.0,201.0,466.0,3.0,670.0,156.0,767.0,15.0,198.0,11.0,430.0,1.0,3.0,631.0,12.0,136.0,3.0,59.0,3.0,36.0,39.0,20.0,26.0,1.0,16.0,17.0,9.0,174.0,70.0,1.0,71.0,103.0,97.0,44.0,1.0,45.0,52.0,77.0,26.0,26.0,51.0,44.0,40.0,4.0,2012
MA-500,Boston CoC,Sheltered and Unsheltered Count,5607.0,4142.0,1278.0,6.0,5426.0,181.0,2430.0,15.0,1307.0,0.0,936.0,15.0,6.0,2249.0,15.0,181.0,0.0,3177.0,2835.0,342.0,3177.0,0.0,1037.0,923.0,114.0,1037.0,0.0,670.0,581.0,6.0,587.0,83.0,480.0,391.0,6.0,397.0,83.0,190.0,190.0,190.0,0.0,355.0,335.0,20.0,2012
MA-502,Lynn CoC,Sheltered and Unsheltered Count,414.0,346.0,54.0,0.0,400.0,14.0,106.0,3.0,49.0,0.0,43.0,0.0,0.0,92.0,0.0,14.0,3.0,308.0,297.0,11.0,308.0,0.0,123.0,120.0,3.0,123.0,0.0,186.0,175.0,0.0,175.0,11.0,87.0,76.0,0.0,76.0,11.0,99.0,99.0,99.0,0.0,4.0,3.0,1.0,2012
MA-503,Cape Cod Islands CoC,Sheltered and Unsheltered Count,364.0,221.0,95.0,0.0,316.0,48.0,221.0,4.0,83.0,0.0,95.0,0.0,0.0,178.0,0.0,43.0,4.0,143.0,138.0,0.0,138.0,5.0,57.0,55.0,0.0,55.0,2.0,68.0,39.0,0.0,39.0,29.0,64.0,35.0,0.0,35.0,29.0,4.0,4.0,4.0,0.0,29.0,20.0,9.0,2012
MA-504,Springfield/Hampden County CoC,Sheltered and Unsheltered Count,2444.0,2071.0,326.0,12.0,2409.0,35.0,382.0,10.0,223.0,3.0,112.0,7.0,12.0,347.0,10.0,35.0,0.0,2062.0,1848.0,214.0,2062.0,0.0,693.0,612.0,81.0,693.0,0.0,155.0,130.0,5.0,135.0,20.0,106.0,81.0,5.0,86.0,20.0,49.0,49.0,49.0,0.0,34.0,33.0,1.0,2012
MA-505,New Bedford CoC,Sheltered and Unsheltered Count,374.0,104.0,250.0,0.0,354.0,20.0,258.0,0.0,30.0,0.0,208.0,0.0,0.0,238.0,0.0,20.0,0.0,116.0,74.0,42.0,116.0,0.0,43.0,24.0,19.0,43.0,0.0,20.0,10.0,0.0,10.0,10.0,18.0,8.0,0.0,8.0,10.0,2.0,2.0,2.0,0.0,54.0,53.0,1.0,2012
MA-506,Worcester City & County CoC,Sheltered and Unsheltered Count,1572.0,968.0,518.0,13.0,1499.0,73.0,551.0,29.0,183.0,22.0,285.0,4.0,13.0,481.0,26.0,70.0,3.0,1021.0,785.0,233.0,1018.0,3.0,333.0,245.0,87.0,332.0,1.0,35.0,35.0,0.0,35.0,0.0,23.0,23.0,0.0,23.0,0.0,12.0,12.0,12.0,0.0,123.0,119.0,4.0,2012
MA-507,"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",Sheltered and Unsheltered Count,717.0,305.0,353.0,0.0,658.0,59.0,484.0,0.0,109.0,0.0,316.0,0.0,0.0,425.0,0.0,59.0,0.0,233.0,196.0,37.0,233.0,0.0,88.0,70.0,18.0,88.0,0.0,155.0,125.0,0.0,125.0,30.0,66.0,36.0,0.0,36.0,30.0,89.0,89.0,89.0,0.0,247.0,244.0,3.0,2012
MA-509,Cambridge CoC,Sheltered and Unsheltered Count,485.0,260.0,153.0,0.0,413.0,72.0,357.0,0.0,192.0,0.0,93.0,0.0,0.0,285.0,0.0,72.0,0.0,128.0,68.0,60.0,128.0,0.0,46.0,25.0,21.0,46.0,0.0,191.0,132.0,0.0,132.0,59.0,191.0,132.0,0.0,132.0,59.0,0.0,0.0,0.0,0.0,62.0,55.0,7.0,2012
MA-511,"Quincy, Brockton, Weymouth, Plymouth City and County CoC",Sheltered and Unsheltered Count,1424.0,1267.0,97.0,0.0,1364.0,60.0,407.0,1.0,296.0,1.0,51.0,0.0,0.0,347.0,1.0,60.0,0.0,1017.0,971.0,46.0,1017.0,0.0,346.0,329.0,17.0,346.0,0.0,134.0,113.0,0.0,113.0,21.0,111.0,90.0,0.0,90.0,21.0,23.0,23.0,23.0,0.0,92.0,90.0,2.0,2012
MA-515,Fall River CoC,Sheltered and Unsheltered Count,307.0,161.0,124.0,0.0,285.0,22.0,121.0,0.0,47.0,0.0,52.0,0.0,0.0,99.0,0.0,22.0,0.0,186.0,114.0,72.0,186.0,0.0,57.0,33.0,24.0,57.0,0.0,25.0,19.0,0.0,19.0,6.0,25.0,19.0,0.0,19.0,6.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,2012
MA-516,Massachusetts Balance of State CoC,Sheltered and Unsheltered Count,3544.0,2659.0,751.0,22.0,3432.0,112.0,899.0,0.0,572.0,0.0,195.0,0.0,22.0,789.0,0.0,110.0,0.0,2645.0,2087.0,556.0,2643.0,2.0,1008.0,795.0,212.0,1007.0,1.0,409.0,343.0,10.0,353.0,56.0,322.0,256.0,10.0,266.0,56.0,87.0,87.0,87.0,0.0,175.0,171.0,4.0,2012
MA-519,"Attleboro, Taunton/Bristol County CoC",Sheltered and Unsheltered Count,249.0,148.0,75.0,0.0,223.0,26.0,73.0,0.0,28.0,0.0,19.0,0.0,0.0,47.0,0.0,26.0,0.0,176.0,120.0,56.0,176.0,0.0,56.0,36.0,20.0,56.0,0.0,7.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2012
MD-501,Baltimore CoC,Sheltered-Only Count,3854.0,867.0,1154.0,38.0,2059.0,1795.0,2926.0,0.0,711.0,0.0,795.0,0.0,38.0,1544.0,0.0,1382.0,0.0,928.0,156.0,359.0,515.0,413.0,320.0,51.0,112.0,163.0,157.0,308.0,0.0,0.0,0.0,308.0,308.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,274.0,248.0,26.0,2012
MD-503,Annapolis/Anne Arundel County CoC,Sheltered and Unsheltered Count,373.0,221.0,90.0,0.0,311.0,62.0,213.0,0.0,138.0,0.0,13.0,0.0,0.0,151.0,0.0,62.0,0.0,160.0,83.0,77.0,160.0,0.0,48.0,28.0,20.0,48.0,0.0,41.0,31.0,0.0,31.0,10.0,41.0,31.0,0.0,31.0,10.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,2012
MD-504,Howard County CoC,Sheltered and Unsheltered Count,230.0,73.0,75.0,0.0,148.0,82.0,114.0,0.0,24.0,0.0,17.0,0.0,0.0,41.0,0.0,73.0,0.0,116.0,49.0,58.0,107.0,9.0,36.0,16.0,17.0,33.0,3.0,54.0,6.0,0.0,6.0,48.0,53.0,6.0,0.0,6.0,47.0,1.0,0.0,0.0,1.0,9.0,2.0,7.0,2012
MD-505,Baltimore County CoC,Sheltered and Unsheltered Count,800.0,425.0,97.0,0.0,522.0,278.0,415.0,0.0,189.0,0.0,31.0,0.0,0.0,220.0,0.0,195.0,0.0,385.0,236.0,66.0,302.0,83.0,134.0,85.0,21.0,106.0,28.0,244.0,133.0,0.0,133.0,111.0,217.0,115.0,0.0,115.0,102.0,27.0,18.0,18.0,9.0,73.0,39.0,34.0,2012
MD-506,Carroll County CoC,Sheltered and Unsheltered Count,167.0,94.0,14.0,23.0,131.0,36.0,113.0,0.0,51.0,0.0,3.0,0.0,23.0,77.0,0.0,36.0,0.0,54.0,43.0,11.0,54.0,0.0,20.0,16.0,4.0,20.0,0.0,20.0,1.0,10.0,11.0,9.0,19.0,0.0,10.0,10.0,9.0,1.0,1.0,1.0,0.0,8.0,8.0,0.0,2012
MD-511,Mid-Shore Regional CoC,Sheltered and Unsheltered Count,80.0,52.0,21.0,0.0,73.0,7.0,49.0,0.0,36.0,0.0,6.0,0.0,0.0,42.0,0.0,7.0,0.0,31.0,16.0,15.0,31.0,0.0,11.0,4.0,7.0,11.0,0.0,6.0,3.0,0.0,3.0,3.0,6.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2012
MD-513,"Wicomico, Somerset, Worcester Counties CoC",Sheltered and Unsheltered Count,221.0,174.0,47.0,0.0,221.0,0.0,148.0,0.0,139.0,0.0,9.0,0.0,0.0,148.0,0.0,0.0,0.0,73.0,35.0,38.0,73.0,0.0,22.0,9.0,13.0,22.0,0.0,27.0,27.0,0.0,27.0,0.0,27.0,27.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,2012
MD-514,Maryland Balance of State CoC,,2106.0,717.0,433.0,0.0,1150.0,956.0,869.0,0.0,427.0,0.0,211.0,0.0,0.0,638.0,0.0,231.0,0.0,1237.0,290.0,222.0,512.0,725.0,470.0,95.0,75.0,170.0,300.0,406.0,199.0,0.0,199.0,207.0,287.0,148.0,0.0,148.0,139.0,119.0,51.0,51.0,68.0,144.0,125.0,19.0,2012
MD-600,Prince George's County CoC,Sheltered and Unsheltered Count,641.0,250.0,225.0,0.0,475.0,166.0,279.0,0.0,74.0,0.0,39.0,0.0,0.0,113.0,0.0,166.0,0.0,362.0,176.0,186.0,362.0,0.0,113.0,51.0,62.0,113.0,0.0,102.0,11.0,0.0,11.0,91.0,102.0,11.0,0.0,11.0,91.0,0.0,0.0,0.0,0.0,24.0,13.0,11.0,2012
MD-601,Montgomery County CoC,Sheltered and Unsheltered Count,982.0,526.0,295.0,31.0,852.0,130.0,601.0,1.0,328.0,0.0,112.0,1.0,31.0,471.0,1.0,130.0,0.0,381.0,198.0,183.0,381.0,0.0,126.0,69.0,57.0,126.0,0.0,199.0,107.0,31.0,138.0,61.0,199.0,107.0,31.0,138.0,61.0,0.0,0.0,0.0,0.0,37.0,30.0,7.0,2012
ME-500,Maine Statewide CoC,Sheltered and Unsheltered Count,2393.0,975.0,1373.0,12.0,2360.0,33.0,1287.0,34.0,688.0,11.0,554.0,21.0,12.0,1254.0,32.0,33.0,2.0,1106.0,287.0,819.0,1106.0,0.0,376.0,99.0,277.0,376.0,0.0,233.0,220.0,11.0,231.0,2.0,222.0,209.0,11.0,220.0,2.0,11.0,11.0,11.0,0.0,116.0,116.0,0.0,2012
MI-500,Michigan Balance of State CoC,Sheltered-Only Count,2335.0,680.0,1232.0,0.0,1912.0,423.0,893.0,64.0,343.0,30.0,263.0,28.0,0.0,606.0,58.0,287.0,6.0,1442.0,337.0,969.0,1306.0,136.0,475.0,136.0,296.0,432.0,43.0,112.0,78.0,0.0,78.0,34.0,72.0,38.0,0.0,38.0,34.0,40.0,40.0,40.0,0.0,88.0,64.0,24.0,2012
MI-501,Detroit CoC,Sheltered-Only Count,3115.0,1631.0,1110.0,21.0,2762.0,353.0,2565.0,40.0,1259.0,15.0,932.0,25.0,21.0,2212.0,40.0,353.0,0.0,550.0,372.0,178.0,550.0,0.0,185.0,117.0,68.0,185.0,0.0,378.0,259.0,12.0,271.0,107.0,336.0,217.0,12.0,229.0,107.0,42.0,42.0,42.0,0.0,518.0,485.0,33.0,2012
MI-502,"Dearborn, Dearborn Heights, Westland/Wayne County CoC",Sheltered-Only Count,476.0,176.0,271.0,10.0,457.0,19.0,179.0,13.0,46.0,7.0,108.0,6.0,10.0,164.0,13.0,15.0,0.0,297.0,130.0,163.0,293.0,4.0,85.0,38.0,45.0,83.0,2.0,14.0,10.0,0.0,10.0,4.0,10.0,6.0,0.0,6.0,4.0,4.0,4.0,4.0,0.0,23.0,22.0,1.0,2012
MI-503,"St. Clair Shores, Warren/Macomb County CoC",Sheltered-Only Count,607.0,209.0,92.0,0.0,301.0,306.0,491.0,5.0,160.0,2.0,49.0,3.0,0.0,209.0,5.0,282.0,0.0,116.0,49.0,43.0,92.0,24.0,52.0,24.0,16.0,40.0,12.0,128.0,54.0,0.0,54.0,74.0,127.0,54.0,0.0,54.0,73.0,1.0,0.0,0.0,1.0,21.0,13.0,8.0,2012
MI-504,"Pontiac, Royal Oak/Oakland County CoC",Sheltered-Only Count,743.0,247.0,259.0,0.0,506.0,237.0,591.0,7.0,214.0,6.0,148.0,1.0,0.0,362.0,7.0,229.0,0.0,152.0,33.0,111.0,144.0,8.0,58.0,14.0,41.0,55.0,3.0,41.0,36.0,0.0,36.0,5.0,41.0,36.0,0.0,36.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2012
MI-505,Flint/Genesee County CoC,Sheltered and Unsheltered Count,435.0,188.0,101.0,0.0,289.0,146.0,269.0,5.0,102.0,2.0,36.0,3.0,0.0,138.0,5.0,131.0,0.0,166.0,86.0,65.0,151.0,15.0,55.0,28.0,21.0,49.0,6.0,69.0,26.0,0.0,26.0,43.0,69.0,26.0,0.0,26.0,43.0,0.0,0.0,0.0,0.0,29.0,12.0,17.0,2012
MI-506,"Grand Rapids, Wyoming/Kent County CoC",Sheltered and Unsheltered Count,712.0,282.0,400.0,0.0,682.0,30.0,251.0,23.0,196.0,8.0,25.0,15.0,0.0,221.0,23.0,30.0,0.0,461.0,86.0,375.0,461.0,0.0,147.0,26.0,121.0,147.0,0.0,91.0,61.0,0.0,61.0,30.0,89.0,59.0,0.0,59.0,30.0,2.0,2.0,2.0,0.0,13.0,13.0,0.0,2012
MI-507,"Portage, Kalamazoo City & County CoC",Sheltered and Unsheltered Count,729.0,317.0,391.0,0.0,708.0,21.0,265.0,6.0,176.0,6.0,68.0,0.0,0.0,244.0,6.0,21.0,0.0,464.0,141.0,323.0,464.0,0.0,154.0,44.0,110.0,154.0,0.0,53.0,43.0,0.0,43.0,10.0,51.0,41.0,0.0,41.0,10.0,2.0,2.0,2.0,0.0,30.0,27.0,3.0,2012
MI-508,"Lansing, East Lansing/Ingham County CoC",Sheltered-Only Count,470.0,298.0,102.0,0.0,400.0,70.0,334.0,4.0,207.0,1.0,69.0,3.0,0.0,276.0,4.0,58.0,0.0,136.0,91.0,33.0,124.0,12.0,37.0,26.0,6.0,32.0,5.0,90.0,74.0,0.0,74.0,16.0,75.0,59.0,0.0,59.0,16.0,15.0,15.0,15.0,0.0,78.0,72.0,6.0,2012
MI-509,Washtenaw County CoC,Sheltered-Only Count,381.0,214.0,124.0,0.0,338.0,43.0,216.0,1.0,128.0,1.0,45.0,0.0,0.0,173.0,1.0,43.0,0.0,165.0,86.0,79.0,165.0,0.0,69.0,40.0,29.0,69.0,0.0,81.0,44.0,0.0,44.0,37.0,57.0,20.0,0.0,20.0,37.0,24.0,24.0,24.0,0.0,29.0,14.0,15.0,2012
MI-510,Saginaw City & County CoC,Sheltered-Only Count,402.0,151.0,171.0,3.0,325.0,77.0,243.0,10.0,74.0,4.0,89.0,6.0,3.0,166.0,10.0,77.0,0.0,159.0,77.0,82.0,159.0,0.0,49.0,25.0,24.0,49.0,0.0,26.0,11.0,1.0,12.0,14.0,24.0,9.0,1.0,10.0,14.0,2.0,2.0,2.0,0.0,56.0,48.0,8.0,2012
MI-511,Lenawee County CoC,Sheltered and Unsheltered Count,118.0,52.0,44.0,0.0,96.0,22.0,44.0,2.0,31.0,1.0,7.0,0.0,0.0,38.0,1.0,6.0,1.0,74.0,21.0,37.0,58.0,16.0,22.0,7.0,11.0,18.0,4.0,7.0,2.0,0.0,2.0,5.0,4.0,2.0,0.0,2.0,2.0,3.0,0.0,0.0,3.0,2.0,0.0,2.0,2012
MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",Sheltered and Unsheltered Count,316.0,140.0,128.0,0.0,268.0,48.0,174.0,17.0,87.0,2.0,39.0,15.0,0.0,126.0,17.0,48.0,0.0,142.0,53.0,89.0,142.0,0.0,52.0,24.0,28.0,52.0,0.0,89.0,61.0,0.0,61.0,28.0,76.0,51.0,0.0,51.0,25.0,13.0,10.0,10.0,3.0,24.0,17.0,7.0,2012
MI-514,Battle Creek/Calhoun County CoC,Sheltered-Only Count,216.0,119.0,41.0,0.0,160.0,56.0,167.0,0.0,83.0,0.0,30.0,0.0,0.0,113.0,0.0,54.0,0.0,49.0,36.0,11.0,47.0,2.0,18.0,12.0,5.0,17.0,1.0,26.0,8.0,0.0,8.0,18.0,24.0,8.0,0.0,8.0,16.0,2.0,0.0,0.0,2.0,38.0,12.0,26.0,2012
MI-515,Monroe City & County CoC,Sheltered-Only Count,113.0,78.0,31.0,0.0,109.0,4.0,81.0,7.0,53.0,5.0,24.0,2.0,0.0,77.0,7.0,4.0,0.0,32.0,25.0,7.0,32.0,0.0,7.0,5.0,2.0,7.0,0.0,21.0,17.0,0.0,17.0,4.0,21.0,17.0,0.0,17.0,4.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,2012
