CoC Number,CoC Name,Count Types,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Sheltered ES Homeless Individuals,Sheltered TH Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered ES Homeless People in Families,Sheltered TH Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered ES Homeless Family Households,Sheltered TH Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Overall Chronically Homeless Individuals,Sheltered ES Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Year
MN-508,Moorhead/West Central Minnesota CoC,Sheltered and Unsheltered Count,272.0,53.0,139.0,192.0,80.0,126.0,14.0,54.0,68.0,58.0,146.0,39.0,85.0,124.0,22.0,45.0,13.0,26.0,39.0,6.0,22.0,10.0,10.0,12.0,2009
MN-509,Duluth/St.Louis County CoC,Sheltered and Unsheltered Count,504.0,129.0,227.0,356.0,148.0,262.0,69.0,60.0,129.0,133.0,242.0,60.0,167.0,227.0,15.0,93.0,28.0,61.0,89.0,4.0,87.0,33.0,33.0,54.0,2009
MN-511,Southwest Minnesota CoC,Sheltered and Unsheltered Count,105.0,55.0,26.0,81.0,24.0,57.0,32.0,15.0,47.0,10.0,48.0,23.0,11.0,34.0,14.0,15.0,7.0,4.0,11.0,4.0,12.0,8.0,8.0,4.0,2009
MO-500,St. Louis County CoC,Sheltered and Unsheltered Count,643.0,282.0,132.0,414.0,229.0,221.0,89.0,42.0,131.0,90.0,422.0,193.0,90.0,283.0,139.0,132.0,67.0,28.0,95.0,37.0,74.0,63.0,63.0,11.0,2009
MO-501,St.Louis City CoC,Sheltered and Unsheltered Count,1306.0,580.0,393.0,973.0,333.0,842.0,427.0,184.0,611.0,231.0,464.0,153.0,209.0,362.0,102.0,161.0,54.0,78.0,132.0,29.0,147.0,136.0,136.0,11.0,2009
MO-503,"St. Charles City & County, Lincoln, Warren Counties CoC",Sheltered and Unsheltered Count,830.0,113.0,436.0,549.0,281.0,338.0,58.0,150.0,208.0,130.0,492.0,55.0,286.0,341.0,151.0,175.0,19.0,108.0,127.0,48.0,37.0,26.0,26.0,11.0,2009
MO-600,"Springfield/Greene, Christian, Webster Counties CoC",Sheltered and Unsheltered Count,418.0,102.0,281.0,383.0,35.0,201.0,40.0,137.0,177.0,24.0,217.0,62.0,144.0,206.0,11.0,71.0,19.0,47.0,66.0,5.0,22.0,0.0,0.0,22.0,2009
MO-602,"Joplin/Jasper, Newton Counties CoC",Sheltered and Unsheltered Count,322.0,102.0,183.0,285.0,37.0,261.0,90.0,134.0,224.0,37.0,61.0,12.0,49.0,61.0,0.0,21.0,4.0,17.0,21.0,0.0,25.0,23.0,23.0,2.0,2009
MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",Sheltered and Unsheltered Count,159.0,105.0,50.0,155.0,4.0,96.0,74.0,18.0,92.0,4.0,63.0,31.0,32.0,63.0,0.0,23.0,14.0,9.0,23.0,0.0,32.0,28.0,28.0,4.0,2009
MO-604a,"Kansas City, Independence, Lee’s Summit/Jackson, Wyandotte Counties, MO & KS",Sheltered and Unsheltered Count,1809.0,835.0,735.0,1570.0,239.0,1116.0,555.0,360.0,915.0,201.0,693.0,280.0,375.0,655.0,38.0,215.0,87.0,116.0,203.0,12.0,404.0,278.0,278.0,126.0,2009
MO-606,Missouri Balance of State CoC,Sheltered and Unsheltered Count,1694.0,820.0,500.0,1320.0,374.0,886.0,410.0,261.0,671.0,215.0,808.0,410.0,239.0,649.0,159.0,256.0,137.0,71.0,208.0,48.0,194.0,166.0,166.0,28.0,2009
MS-500,"Jackson/Rankin, Madison Counties CoC",Sheltered and Unsheltered Count,922.0,135.0,291.0,426.0,496.0,693.0,108.0,188.0,296.0,397.0,229.0,27.0,103.0,130.0,99.0,73.0,8.0,35.0,43.0,30.0,312.0,87.0,87.0,225.0,2009
MS-501,Mississippi Balance of State CoC,Sheltered and Unsheltered Count,1242.0,346.0,314.0,660.0,582.0,581.0,132.0,145.0,277.0,304.0,661.0,214.0,169.0,383.0,278.0,199.0,61.0,45.0,106.0,93.0,125.0,59.0,59.0,66.0,2009
MS-503,Gulf Port/Gulf Coast Regional CoC,Sheltered and Unsheltered Count,633.0,43.0,92.0,135.0,498.0,569.0,21.0,61.0,82.0,487.0,64.0,22.0,31.0,53.0,11.0,29.0,9.0,15.0,24.0,5.0,85.0,6.0,6.0,79.0,2009
MT-500,Montana Statewide CoC,Sheltered and Unsheltered Count,1196.0,404.0,429.0,833.0,363.0,752.0,268.0,213.0,481.0,271.0,444.0,136.0,216.0,352.0,92.0,133.0,40.0,71.0,111.0,22.0,160.0,107.0,107.0,53.0,2009
NC-500,Winston-Salem/Forsyth County CoC,Sheltered and Unsheltered Count,489.0,291.0,130.0,421.0,68.0,395.0,265.0,62.0,327.0,68.0,94.0,26.0,68.0,94.0,0.0,33.0,8.0,25.0,33.0,0.0,119.0,116.0,116.0,3.0,2009
NC-501,Asheville/Buncombe County CoC,Sheltered and Unsheltered Count,518.0,179.0,247.0,426.0,92.0,432.0,157.0,183.0,340.0,92.0,86.0,22.0,64.0,86.0,0.0,35.0,11.0,24.0,35.0,0.0,180.0,147.0,147.0,33.0,2009
NC-502,Durham City & County CoC,Sheltered and Unsheltered Count,536.0,275.0,227.0,502.0,34.0,437.0,221.0,182.0,403.0,34.0,99.0,54.0,45.0,99.0,0.0,34.0,18.0,16.0,34.0,0.0,142.0,108.0,108.0,34.0,2009
NC-503,North Carolina Balance of State CoC,Sheltered and Unsheltered Count,2821.0,1359.0,650.0,2009.0,812.0,1860.0,846.0,380.0,1226.0,634.0,961.0,513.0,270.0,783.0,178.0,328.0,171.0,91.0,262.0,66.0,180.0,140.0,140.0,40.0,2009
NC-504,"Greensboro, High Point CoC",Sheltered and Unsheltered Count,1078.0,478.0,470.0,948.0,130.0,746.0,363.0,265.0,628.0,118.0,332.0,115.0,205.0,320.0,12.0,99.0,33.0,63.0,96.0,3.0,82.0,56.0,56.0,26.0,2009
NC-505,Charlotte/Mecklenberg CoC,Sheltered and Unsheltered Count,2594.0,1128.0,916.0,2044.0,550.0,1930.0,802.0,581.0,1383.0,547.0,664.0,326.0,335.0,661.0,3.0,176.0,104.0,71.0,175.0,1.0,374.0,343.0,343.0,31.0,2009
NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",Sheltered and Unsheltered Count,630.0,205.0,263.0,468.0,162.0,343.0,140.0,109.0,249.0,94.0,287.0,65.0,154.0,219.0,68.0,107.0,20.0,59.0,79.0,28.0,118.0,73.0,73.0,45.0,2009
NC-507,Raleigh/Wake County CoC,Sheltered and Unsheltered Count,1152.0,508.0,397.0,905.0,247.0,881.0,334.0,300.0,634.0,247.0,271.0,174.0,97.0,271.0,0.0,79.0,52.0,27.0,79.0,0.0,54.0,54.0,54.0,0.0,2009
NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",Sheltered and Unsheltered Count,580.0,194.0,30.0,224.0,356.0,427.0,134.0,12.0,146.0,281.0,153.0,60.0,18.0,78.0,75.0,51.0,21.0,6.0,27.0,24.0,24.0,10.0,10.0,14.0,2009
NC-511,Fayetteville/Cumberland County CoC,Sheltered and Unsheltered Count,965.0,90.0,173.0,263.0,702.0,411.0,68.0,8.0,76.0,335.0,554.0,22.0,165.0,187.0,367.0,145.0,7.0,45.0,52.0,93.0,45.0,19.0,19.0,26.0,2009
NC-513,Chapel Hill/Orange County CoC,Sheltered and Unsheltered Count,156.0,81.0,70.0,151.0,5.0,110.0,81.0,24.0,105.0,5.0,46.0,0.0,46.0,46.0,0.0,19.0,0.0,19.0,19.0,0.0,42.0,37.0,37.0,5.0,2009
NC-516,Northwest North Carolina CoC,Sheltered and Unsheltered Count,1399.0,85.0,27.0,112.0,1287.0,1187.0,39.0,20.0,59.0,1128.0,212.0,46.0,7.0,53.0,159.0,78.0,16.0,3.0,19.0,59.0,130.0,4.0,4.0,126.0,2009
ND-500,North Dakota Statewide CoC,Sheltered and Unsheltered Count,773.0,487.0,278.0,765.0,8.0,548.0,329.0,211.0,540.0,8.0,225.0,158.0,67.0,225.0,0.0,72.0,49.0,23.0,72.0,0.0,70.0,66.0,66.0,4.0,2009
NE-500,Nebraska Balance of State CoC,Sheltered and Unsheltered Count,1483.0,440.0,491.0,931.0,552.0,662.0,210.0,211.0,421.0,241.0,821.0,230.0,280.0,510.0,311.0,252.0,62.0,94.0,156.0,96.0,99.0,54.0,54.0,45.0,2009
NE-501,"Omaha, Council Bluffs CoC",Sheltered and Unsheltered Count,1262.0,783.0,418.0,1201.0,61.0,958.0,669.0,228.0,897.0,61.0,304.0,114.0,190.0,304.0,0.0,98.0,38.0,60.0,98.0,0.0,322.0,297.0,297.0,25.0,2009
NE-502,Lincoln CoC,Sheltered and Unsheltered Count,973.0,370.0,577.0,947.0,26.0,452.0,177.0,252.0,429.0,23.0,521.0,193.0,325.0,518.0,3.0,180.0,55.0,124.0,179.0,1.0,74.0,62.0,62.0,12.0,2009
NH-500,New Hampshire Balance of State CoC,Sheltered and Unsheltered Count,769.0,531.0,188.0,719.0,50.0,397.0,276.0,79.0,355.0,42.0,372.0,255.0,109.0,364.0,8.0,122.0,80.0,39.0,119.0,3.0,202.0,177.0,177.0,25.0,2009
NH-501,Manchester CoC,Sheltered and Unsheltered Count,508.0,147.0,190.0,337.0,171.0,316.0,96.0,56.0,152.0,164.0,192.0,51.0,134.0,185.0,7.0,73.0,17.0,54.0,71.0,2.0,59.0,52.0,52.0,7.0,2009
NH-502,Nashua/Hillsborough County CoC,Sheltered and Unsheltered Count,368.0,214.0,136.0,350.0,18.0,178.0,107.0,56.0,163.0,15.0,190.0,107.0,80.0,187.0,3.0,64.0,34.0,29.0,63.0,1.0,69.0,56.0,56.0,13.0,2009
NJ-500,Atlantic City & County CoC,Sheltered and Unsheltered Count,461.0,339.0,0.0,339.0,122.0,315.0,218.0,0.0,218.0,97.0,146.0,121.0,0.0,121.0,25.0,52.0,42.0,0.0,42.0,10.0,66.0,35.0,35.0,31.0,2009
NJ-501,Bergen County CoC,Sheltered and Unsheltered Count,1433.0,340.0,1014.0,1354.0,79.0,572.0,192.0,321.0,513.0,59.0,861.0,148.0,693.0,841.0,20.0,313.0,59.0,246.0,305.0,8.0,75.0,48.0,48.0,27.0,2009
NJ-502,Burlington County CoC,Sheltered and Unsheltered Count,979.0,699.0,250.0,949.0,30.0,382.0,297.0,61.0,358.0,24.0,597.0,402.0,189.0,591.0,6.0,182.0,124.0,55.0,179.0,3.0,82.0,75.0,75.0,7.0,2009
NJ-503,"Camden City & County/Gloucester, Cape May, Cumberland Counties CoC",Sheltered and Unsheltered Count,1116.0,775.0,147.0,922.0,194.0,603.0,362.0,110.0,472.0,131.0,513.0,413.0,37.0,450.0,63.0,176.0,141.0,13.0,154.0,22.0,93.0,72.0,72.0,21.0,2009
NJ-504,Newark/Essex County CoC,Sheltered and Unsheltered Count,1730.0,1132.0,407.0,1539.0,191.0,764.0,518.0,97.0,615.0,149.0,966.0,614.0,310.0,924.0,42.0,307.0,194.0,99.0,293.0,14.0,125.0,92.0,92.0,33.0,2009
NJ-506,"Jersey City, Bayonne/Hudson County CoC",Sheltered and Unsheltered Count,1779.0,1374.0,276.0,1650.0,129.0,563.0,378.0,89.0,467.0,96.0,1216.0,996.0,187.0,1183.0,33.0,448.0,369.0,68.0,437.0,11.0,72.0,45.0,45.0,27.0,2009
NJ-507,New Brunswick/Middlesex County CoC,Sheltered and Unsheltered Count,796.0,311.0,272.0,583.0,213.0,432.0,178.0,107.0,285.0,147.0,364.0,133.0,165.0,298.0,66.0,133.0,49.0,58.0,107.0,26.0,45.0,25.0,25.0,20.0,2009
NJ-508,Monmouth County CoC,Sheltered and Unsheltered Count,676.0,400.0,238.0,638.0,38.0,300.0,224.0,53.0,277.0,23.0,376.0,176.0,185.0,361.0,15.0,134.0,59.0,70.0,129.0,5.0,72.0,61.0,61.0,11.0,2009
NJ-509,Morris County CoC,Sheltered and Unsheltered Count,302.0,177.0,80.0,257.0,45.0,151.0,79.0,29.0,108.0,43.0,151.0,98.0,51.0,149.0,2.0,55.0,36.0,18.0,54.0,1.0,46.0,27.0,27.0,19.0,2009
NJ-510,Lakewood Township/Ocean County CoC,Sheltered and Unsheltered Count,453.0,358.0,48.0,406.0,47.0,253.0,196.0,17.0,213.0,40.0,200.0,162.0,31.0,193.0,7.0,67.0,51.0,13.0,64.0,3.0,46.0,40.0,40.0,6.0,2009
NJ-511,Paterson/Passaic County CoC,Sheltered and Unsheltered Count,306.0,184.0,23.0,207.0,99.0,179.0,97.0,15.0,112.0,67.0,127.0,87.0,8.0,95.0,32.0,41.0,28.0,2.0,30.0,11.0,38.0,18.0,18.0,20.0,2009
NJ-512,Salem County CoC,Sheltered and Unsheltered Count,148.0,121.0,25.0,146.0,2.0,85.0,77.0,6.0,83.0,2.0,63.0,44.0,19.0,63.0,0.0,22.0,15.0,7.0,22.0,0.0,20.0,18.0,18.0,2.0,2009
NJ-513,Somerset County CoC,Sheltered and Unsheltered Count,298.0,107.0,176.0,283.0,15.0,177.0,63.0,102.0,165.0,12.0,121.0,44.0,74.0,118.0,3.0,32.0,15.0,16.0,31.0,1.0,7.0,7.0,7.0,0.0,2009
NJ-514,Trenton/Mercer County CoC,Sheltered and Unsheltered Count,1062.0,676.0,344.0,1020.0,42.0,515.0,391.0,95.0,486.0,29.0,547.0,285.0,249.0,534.0,13.0,197.0,98.0,93.0,191.0,6.0,86.0,86.0,86.0,0.0,2009
NJ-515,Elizabeth/Union County CoC,Sheltered and Unsheltered Count,1116.0,437.0,640.0,1077.0,39.0,490.0,265.0,194.0,459.0,31.0,626.0,172.0,446.0,618.0,8.0,221.0,66.0,153.0,219.0,2.0,41.0,37.0,37.0,4.0,2009
NJ-516,"Warren, Sussex, Hunterdon Counties CoC",Sheltered and Unsheltered Count,514.0,172.0,329.0,501.0,13.0,181.0,96.0,78.0,174.0,7.0,333.0,76.0,251.0,327.0,6.0,118.0,30.0,87.0,117.0,1.0,20.0,18.0,18.0,2.0,2009
NM-500,Albuquerque CoC,Sheltered and Unsheltered Count,2002.0,481.0,590.0,1071.0,931.0,1454.0,379.0,238.0,617.0,837.0,548.0,102.0,352.0,454.0,94.0,180.0,33.0,108.0,141.0,39.0,403.0,152.0,152.0,251.0,2009
NM-501,New Mexico Balance of State CoC,Sheltered and Unsheltered Count,1473.0,504.0,533.0,1037.0,436.0,889.0,258.0,227.0,485.0,404.0,584.0,246.0,306.0,552.0,32.0,124.0,35.0,76.0,111.0,13.0,376.0,189.0,189.0,187.0,2009
NV-500,Las Vegas/Clark County CoC,Sheltered and Unsheltered Count,9949.0,825.0,6179.0,7004.0,2945.0,8566.0,730.0,4904.0,5634.0,2932.0,1383.0,95.0,1275.0,1370.0,13.0,342.0,31.0,307.0,338.0,4.0,1090.0,117.0,117.0,973.0,2009
NV-501,"Reno, Sparks/Washoe County CoC",Sheltered and Unsheltered Count,700.0,432.0,213.0,645.0,55.0,522.0,302.0,169.0,471.0,51.0,178.0,130.0,44.0,174.0,4.0,53.0,34.0,18.0,52.0,1.0,104.0,75.0,75.0,29.0,2009
NV-502,Nevada Balance of State CoC,Sheltered and Unsheltered Count,440.0,54.0,89.0,143.0,297.0,306.0,14.0,24.0,38.0,268.0,134.0,40.0,65.0,105.0,29.0,43.0,13.0,21.0,34.0,9.0,103.0,4.0,4.0,99.0,2009
NY-500,"Rochester, Irondequoit, Greece/Monroe County CoC",Sheltered and Unsheltered Count,663.0,496.0,167.0,663.0,0.0,340.0,265.0,75.0,340.0,0.0,323.0,231.0,92.0,323.0,0.0,104.0,70.0,34.0,104.0,0.0,86.0,86.0,86.0,0.0,2009
NY-501,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC",Sheltered and Unsheltered Count,184.0,32.0,146.0,178.0,6.0,145.0,14.0,128.0,142.0,3.0,39.0,18.0,18.0,36.0,3.0,14.0,6.0,7.0,13.0,1.0,2.0,2.0,2.0,0.0,2009
NY-503,Albany City & County CoC,Sheltered and Unsheltered Count,639.0,489.0,115.0,604.0,35.0,429.0,309.0,85.0,394.0,35.0,210.0,180.0,30.0,210.0,0.0,68.0,57.0,11.0,68.0,0.0,66.0,38.0,38.0,28.0,2009
NY-504,Cattaragus County CoC,Sheltered and Unsheltered Count,74.0,23.0,34.0,57.0,17.0,47.0,13.0,17.0,30.0,17.0,27.0,10.0,17.0,27.0,0.0,10.0,4.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,2009
NY-505,"Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC",Sheltered and Unsheltered Count,874.0,445.0,397.0,842.0,32.0,700.0,329.0,343.0,672.0,28.0,174.0,116.0,54.0,170.0,4.0,56.0,34.0,20.0,54.0,2.0,90.0,76.0,76.0,14.0,2009
NY-506,"Fulton, Montgomery, Schoharie Counties CoC",Sheltered and Unsheltered Count,24.0,20.0,0.0,20.0,4.0,15.0,11.0,0.0,11.0,4.0,9.0,9.0,0.0,9.0,0.0,3.0,3.0,0.0,3.0,0.0,5.0,2.0,2.0,3.0,2009
NY-507,Schenectady City & County CoC,Sheltered and Unsheltered Count,258.0,182.0,14.0,196.0,62.0,178.0,122.0,0.0,122.0,56.0,80.0,60.0,14.0,74.0,6.0,31.0,24.0,4.0,28.0,3.0,32.0,13.0,13.0,19.0,2009
NY-508,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC",Sheltered and Unsheltered Count,1069.0,480.0,460.0,940.0,129.0,801.0,359.0,316.0,675.0,126.0,268.0,121.0,144.0,265.0,3.0,99.0,39.0,59.0,98.0,1.0,296.0,172.0,172.0,124.0,2009
NY-510,Ithaca/Tompkins County CoC,Sheltered and Unsheltered Count,75.0,33.0,32.0,65.0,10.0,45.0,25.0,10.0,35.0,10.0,30.0,8.0,22.0,30.0,0.0,9.0,3.0,6.0,9.0,0.0,19.0,9.0,9.0,10.0,2009
NY-511,"Binghamton, Union Town/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Count",Sheltered and Unsheltered Count,213.0,92.0,110.0,202.0,11.0,195.0,84.0,100.0,184.0,11.0,18.0,8.0,10.0,18.0,0.0,7.0,2.0,5.0,7.0,0.0,64.0,60.0,60.0,4.0,2009
NY-512,Troy/Rensselaer County CoC,Sheltered and Unsheltered Count,298.0,232.0,28.0,260.0,38.0,75.0,33.0,4.0,37.0,38.0,223.0,199.0,24.0,223.0,0.0,82.0,72.0,10.0,82.0,0.0,27.0,13.0,13.0,14.0,2009
NY-513,"Wayne, Ontario, Seneca, Yates Counties CoC",Sheltered and Unsheltered Count,81.0,70.0,11.0,81.0,0.0,43.0,32.0,11.0,43.0,0.0,38.0,38.0,0.0,38.0,0.0,15.0,15.0,0.0,15.0,0.0,5.0,5.0,5.0,0.0,2009
NY-514,"Jamestown, Dunkirk/Chautauqua County CoC",Sheltered and Unsheltered Count,128.0,34.0,89.0,123.0,5.0,85.0,19.0,61.0,80.0,5.0,43.0,15.0,28.0,43.0,0.0,21.0,7.0,14.0,21.0,0.0,16.0,16.0,16.0,0.0,2009
NY-516,Clinton County CoC,Sheltered and Unsheltered Count,136.0,107.0,17.0,124.0,12.0,107.0,78.0,17.0,95.0,12.0,29.0,29.0,0.0,29.0,0.0,13.0,13.0,0.0,13.0,0.0,11.0,11.0,11.0,0.0,2009
NY-518,"Utica, Rome/Oneida, Madison Counties CoC",Sheltered and Unsheltered Count,343.0,100.0,226.0,326.0,17.0,251.0,66.0,168.0,234.0,17.0,92.0,34.0,58.0,92.0,0.0,32.0,9.0,23.0,32.0,0.0,19.0,14.0,14.0,5.0,2009
NY-519,"Columbia, Greene Counties CoC",Sheltered and Unsheltered Count,267.0,206.0,54.0,260.0,7.0,145.0,84.0,54.0,138.0,7.0,122.0,122.0,0.0,122.0,0.0,38.0,38.0,0.0,38.0,0.0,8.0,8.0,8.0,0.0,2009
NY-520,"Franklin, Essex Counties CoC",Sheltered and Unsheltered Count,14.0,5.0,0.0,5.0,9.0,8.0,5.0,0.0,5.0,3.0,6.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,3.0,4.0,1.0,1.0,3.0,2009
NY-522,"Jefferson, Lewis, St. Lawrence Counties CoC",Sheltered and Unsheltered Count,276.0,126.0,149.0,275.0,1.0,244.0,96.0,147.0,243.0,1.0,32.0,30.0,2.0,32.0,0.0,11.0,10.0,1.0,11.0,0.0,14.0,14.0,14.0,0.0,2009
NY-523,"Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties Co",Sheltered and Unsheltered Count,195.0,122.0,42.0,164.0,31.0,145.0,82.0,35.0,117.0,28.0,50.0,40.0,7.0,47.0,3.0,19.0,16.0,2.0,18.0,1.0,34.0,11.0,11.0,23.0,2009
NY-600,New York City CoC,Sheltered and Unsheltered Count,49343.0,39727.0,7288.0,47015.0,2328.0,18188.0,10476.0,5384.0,15860.0,2328.0,31155.0,29251.0,1904.0,31155.0,0.0,9633.0,8957.0,676.0,9633.0,0.0,3103.0,1543.0,1543.0,1560.0,2009
NY-601,Poughkeepsie/Dutchess County CoC,Sheltered and Unsheltered Count,474.0,226.0,178.0,404.0,70.0,284.0,113.0,101.0,214.0,70.0,190.0,113.0,77.0,190.0,0.0,73.0,39.0,34.0,73.0,0.0,47.0,36.0,36.0,11.0,2009
NY-602,"Newburgh, Middletown/Orange County CoC",Sheltered and Unsheltered Count,450.0,301.0,44.0,345.0,105.0,274.0,169.0,0.0,169.0,105.0,176.0,132.0,44.0,176.0,0.0,61.0,46.0,15.0,61.0,0.0,73.0,29.0,29.0,44.0,2009
NY-603,"Nassau, Suffolk Counties CoC",Sheltered and Unsheltered Count,2639.0,1738.0,592.0,2330.0,309.0,817.0,343.0,179.0,522.0,295.0,1822.0,1395.0,413.0,1808.0,14.0,542.0,390.0,145.0,535.0,7.0,54.0,40.0,40.0,14.0,2009
NY-604,"Yonkers, Mount Vernon/Westchester County CoC",Sheltered and Unsheltered Count,1531.0,1060.0,305.0,1365.0,166.0,555.0,321.0,68.0,389.0,166.0,976.0,739.0,237.0,976.0,0.0,331.0,263.0,68.0,331.0,0.0,121.0,52.0,52.0,69.0,2009
NY-606,Rockland County CoC,Sheltered and Unsheltered Count,139.0,43.0,34.0,77.0,62.0,102.0,20.0,20.0,40.0,62.0,37.0,23.0,14.0,37.0,0.0,13.0,9.0,4.0,13.0,0.0,25.0,2.0,2.0,23.0,2009
NY-607,Sullivan County CoC,Sheltered and Unsheltered Count,369.0,366.0,0.0,366.0,3.0,124.0,121.0,0.0,121.0,3.0,245.0,245.0,0.0,245.0,0.0,76.0,76.0,0.0,76.0,0.0,14.0,12.0,12.0,2.0,2009
NY-608,Kingston/Ulster County CoC,Sheltered and Unsheltered Count,311.0,139.0,28.0,167.0,144.0,215.0,65.0,28.0,93.0,122.0,96.0,74.0,0.0,74.0,22.0,38.0,31.0,0.0,31.0,7.0,45.0,7.0,7.0,38.0,2009
OH-500,Cincinnati/Hamilton County CoC,Sheltered and Unsheltered Count,1140.0,686.0,411.0,1097.0,43.0,781.0,517.0,221.0,738.0,43.0,359.0,169.0,190.0,359.0,0.0,114.0,55.0,59.0,114.0,0.0,268.0,262.0,262.0,6.0,2009
OH-501,Toledo/Lucas County CoC,Sheltered and Unsheltered Count,945.0,409.0,318.0,727.0,218.0,597.0,290.0,160.0,450.0,147.0,348.0,119.0,158.0,277.0,71.0,120.0,47.0,55.0,102.0,18.0,312.0,247.0,247.0,65.0,2009
OH-502,Cleveland/Cuyahoga County CoC,Sheltered and Unsheltered Count,2236.0,1218.0,887.0,2105.0,131.0,1743.0,966.0,651.0,1617.0,126.0,493.0,252.0,236.0,488.0,5.0,162.0,81.0,80.0,161.0,1.0,584.0,545.0,545.0,39.0,2009
OH-503,Columbus/Franklin County CoC,Sheltered and Unsheltered Count,1359.0,1120.0,131.0,1251.0,108.0,972.0,762.0,108.0,870.0,102.0,387.0,358.0,23.0,381.0,6.0,119.0,109.0,9.0,118.0,1.0,271.0,174.0,174.0,97.0,2009
OH-504,Youngstown/Mahoning County CoC,Sheltered and Unsheltered Count,183.0,67.0,110.0,177.0,6.0,83.0,52.0,25.0,77.0,6.0,100.0,15.0,85.0,100.0,0.0,31.0,4.0,27.0,31.0,0.0,7.0,6.0,6.0,1.0,2009
OH-505,"Dayton, Kettering/Montgomery County CoC",Sheltered and Unsheltered Count,837.0,572.0,251.0,823.0,14.0,502.0,353.0,135.0,488.0,14.0,335.0,219.0,116.0,335.0,0.0,112.0,69.0,43.0,112.0,0.0,52.0,44.0,44.0,8.0,2009
OH-506,"Akron, Barberton/Summit County CoC",Sheltered and Unsheltered Count,820.0,327.0,331.0,658.0,162.0,549.0,233.0,174.0,407.0,142.0,271.0,94.0,157.0,251.0,20.0,93.0,29.0,54.0,83.0,10.0,217.0,119.0,119.0,98.0,2009
OH-507,Ohio Balance of State CoC,Sheltered and Unsheltered Count,4770.0,1650.0,2108.0,3758.0,1012.0,2324.0,943.0,686.0,1629.0,695.0,2446.0,707.0,1422.0,2129.0,317.0,844.0,248.0,501.0,749.0,95.0,537.0,405.0,405.0,132.0,2009
OH-508,"Canton, Massillon, Alliance/Stark County CoC",Sheltered and Unsheltered Count,410.0,173.0,160.0,333.0,77.0,223.0,119.0,35.0,154.0,69.0,187.0,54.0,125.0,179.0,8.0,53.0,18.0,32.0,50.0,3.0,55.0,36.0,36.0,19.0,2009
OK-500,North Central Oklahoma CoC,Sheltered and Unsheltered Count,316.0,116.0,56.0,172.0,144.0,156.0,42.0,19.0,61.0,95.0,160.0,74.0,37.0,111.0,49.0,61.0,30.0,15.0,45.0,16.0,36.0,23.0,23.0,13.0,2009
OK-501,Tulsa City & County CoC,Sheltered and Unsheltered Count,826.0,560.0,237.0,797.0,29.0,646.0,451.0,166.0,617.0,29.0,180.0,109.0,71.0,180.0,0.0,59.0,35.0,24.0,59.0,0.0,83.0,78.0,78.0,5.0,2009
OK-502,Oklahoma City CoC,Sheltered and Unsheltered Count,1475.0,803.0,300.0,1103.0,372.0,1208.0,652.0,190.0,842.0,366.0,267.0,151.0,110.0,261.0,6.0,95.0,46.0,47.0,93.0,2.0,384.0,322.0,322.0,62.0,2009
OK-503,Oklahoma Balance of State CoC,Sheltered and Unsheltered Count,340.0,229.0,60.0,289.0,51.0,207.0,145.0,30.0,175.0,32.0,133.0,84.0,30.0,114.0,19.0,56.0,37.0,15.0,52.0,4.0,7.0,7.0,7.0,0.0,2009
OK-504,Norman/Cleveland County CoC,Sheltered and Unsheltered Count,585.0,132.0,157.0,289.0,296.0,370.0,94.0,80.0,174.0,196.0,215.0,38.0,77.0,115.0,100.0,69.0,13.0,26.0,39.0,30.0,51.0,23.0,23.0,28.0,2009
OK-505,Northeast Oklahoma CoC,Sheltered and Unsheltered Count,635.0,181.0,83.0,264.0,371.0,328.0,90.0,26.0,116.0,212.0,307.0,91.0,57.0,148.0,159.0,103.0,30.0,20.0,50.0,53.0,72.0,71.0,71.0,1.0,2009
OK-506,Southwest Oklahoma Regional CoC,Sheltered and Unsheltered Count,272.0,210.0,42.0,252.0,20.0,156.0,139.0,0.0,139.0,17.0,116.0,71.0,42.0,113.0,3.0,30.0,19.0,10.0,29.0,1.0,13.0,7.0,7.0,6.0,2009
